index,time,channel,amplitude
1,-0.07725,c_153ch,-36.15137
2,-0.06205,c_660ch,-29.59445
3,-0.06205,c_888ch,-24.69153
4,0.0253,c_933ch,-30.90691
5,0.04555,c_909ch,-20.54042
6,0.0567,c_236ch,-28.43222
7,0.08775,c_933ch,-32.7631
8,0.0938,c_581ch,-21.90991
9,0.11235,c_933ch,-30.18274
10,0.1409,c_751ch,-24.76691
11,0.1863,c_933ch,-32.21684
12,0.1917,c_51ch,-19.45327
13,0.22395,c_862ch,-21.07769
14,0.224,c_909ch,-25.16798
15,0.3393,c_862ch,-25.96055
16,0.33935,c_909ch,-23.01459
17,0.41185,c_11ch,-23.4644
18,0.4286,c_922ch,-19.17922
19,0.4694,c_236ch,-26.87969
20,0.4895,c_933ch,-29.92928
21,0.493,c_968ch,-22.06292
22,0.53125,c_734ch,-19.41459
23,0.6023,c_686ch,-27.63136
24,0.6024,c_886ch,-24.81362
25,0.71765,c_724ch,-24.56567
26,0.74055,c_932ch,-19.35768
27,0.7452,c_1003ch,-21.32643
28,0.78865,c_1020ch,-25.63233
29,0.82695,c_385ch,-17.83566
30,0.8672,c_22ch,-22.40622
31,0.9003,c_724ch,-20.00025
32,0.90075,c_528ch,-27.78735
33,0.90105,c_660ch,-35.59218
34,0.9011,c_888ch,-20.48975
35,0.90465,c_153ch,-41.39275
36,0.9261,c_236ch,-22.26656
37,0.94095,c_22ch,-22.36341
38,0.943,c_613ch,-21.88688
39,0.94405,c_611ch,-28.94818
40,1.0239,c_778ch,-25.47471
41,1.04325,c_911ch,-30.67748
42,1.04355,c_2ch,-25.09974
43,1.0648,c_236ch,-23.58645
44,1.1058,c_11ch,-20.63211
45,1.19325,c_932ch,-21.17045
46,1.2137,c_576ch,-22.0303
47,1.21405,c_1020ch,-21.27242
48,1.2411,c_153ch,-43.53673
49,1.30895,c_899ch,-22.01423
50,1.38915,c_798ch,-24.62495
51,1.51355,c_528ch,-36.7575
52,1.5139,c_660ch,-31.10262
53,1.51825,c_78ch,-26.01658
54,1.5183,c_959ch,-30.30991
55,1.54285,c_1009ch,-26.42599
56,1.5518,c_11ch,-19.77632
57,1.59875,c_385ch,-16.50688
58,1.61105,c_581ch,-22.81541
59,1.63085,c_731ch,-22.75945
60,1.65065,c_153ch,-36.50515
61,1.68945,c_236ch,-26.72887
62,1.70665,c_933ch,-32.77337
63,1.70785,c_1013ch,-27.21152
64,1.7291,c_396ch,-22.53048
65,1.74865,c_78ch,-26.16174
